ISBN,ISBN NUMERIQUE,OUVRAGE,NOM AUTEUR ,PRENOM AUTEUR ,EDITEUR,COLLECTION,DISCIPLINE,DISCIPLINE,ANNEE,MISE EN LIGNE,OUVRAGE ACCESSIBLE,TARIF EN EUROS HT,ANNEES AVANT ACCES PERENNE,URL CAIRN
9782262042370,,Le XX,Winock,Michel,Éditions Perrin,Synthèses historiques,Histoire,,2013,2017-10-03,non,E,infos non disponibles,http://www.cairn.info/le-xxe-siecle-ideologique-et-politique--9782262042370.htm
9782130583851,9782130741350,Le catholicisme entre Luther et Voltaire,Delumeau,Jean,P.U.F.,Nouvelle Clio,Histoire,,2010,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/le-catholicisme-entre-luther-et-voltaire--9782130583851.htm
9782748900460,9782748911206,Le chemin vers le bas,Jung,Franz,Éditions Agone,Mémoires sociales,Histoire,,2007,2016-04-01,non,D,infos non disponibles,http://www.cairn.info/le-chemin-vers-le-bas--9782748900460.htm
9782200271558,9782200276362,Le christianisme antique de Jésus à Constantin,Mattei,Paul,Armand Colin,U,Histoire,,2011,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-christianisme-antique-de-jesus-a-constantin--9782200271558.htm
9782200251871,9782200255251,Le christianisme occidental au Moyen Âge,Paul,Jacques,Armand Colin,U,Histoire,,2004,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-christianisme-occidental-au-moyen-age--9782200251871.htm
9782707132581,9782707170514,Le commerce des dieux,Bruit-Zaidman,Louise,La Découverte,TAP / Histoire classique,Histoire,,2001,2012-04-01,non,D,infos non disponibles,http://www.cairn.info/le-commerce-des-dieux--9782707132581.htm
9782130524700,9782130737339,Le crime de poison au Moyen Âge,Collard,Franck,P.U.F.,Le Noeud Gordien,Histoire,,2003,2015-04-20,non,G,infos non disponibles,http://www.cairn.info/le-crime-de-poison-au-moyen-age--9782130524700.htm
9782600002974,,Le développement inégal de l'Europe (1918-1939),David,Thomas,Librairie Droz,Publications d'histoire économique et sociale internationale,Histoire,,1998,2015-05-13,non,D,infos non disponibles,http://www.cairn.info/le-developpement-inegal-de-l-europe--9782600002974.htm
9782200287702,9782200288730,Le livre français et ses lecteurs italiens,Müller,Raphaël,Armand Colin,Recherches,Histoire,,2013,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-livre-francais-et-ses-lecteurs-italiens--9782200287702.htm
9782130580508,9782130641438,Le meurtre de Weimar,Chapoutot,Johann,P.U.F.,Perspectives critiques,Histoire,,2010,2015-01-01,non,D,infos non disponibles,http://www.cairn.info/le-meurtre-de-weimar--9782130580508.htm
9782262039059,,Le modèle suisse,Garçon,François,Éditions Perrin,Tempus,Histoire,,2013,2017-10-03,non,D,infos non disponibles,http://www.cairn.info/le-modele-suisse--9782262039059.htm
9782130520078,9782130638544,Le monde byzantin II,Cheynet,Jean-Claude,P.U.F.,Nouvelle Clio,Histoire,,2006,2014-10-29,non,G,infos non disponibles,http://www.cairn.info/le-monde-byzantin-II--9782130520078.htm
9782130515456,9782130737513,Le monde grec aux temps classiques. Tome 2,Brulé,Pierre,P.U.F.,Nouvelle Clio,Histoire,,2004,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/le-monde-grec-aux-temps-classiques-tome-2--9782130515456.htm
9782200246525,9782200258290,Le monde grec à l'époque classique,Brun,Patrice,Armand Colin,U,Histoire,,2010,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-monde-grec-a-l-epoque-classique--9782200246525.htm
9782200355166,9782200242374,Le monde hellénistique,Grandjean,Catherine,Armand Colin,U,Histoire,,2008,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-monde-hellenistique--9782200355166.htm
9782130426196,9782130737186,Le monde hellénistique. Tome 1,Préaux,Claire,P.U.F.,Nouvelle Clio,Histoire,,1997,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/le-monde-hellenistique-tome-1--9782130426196.htm
9782130526070,9782130737117,Le monde hellénistique. Tome 2,Préaux,Claire,P.U.F.,Nouvelle Clio,Histoire,,2002,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/le-monde-hellenistique-tome-2--9782130526070.htm
9782746709713,,Le mythe de l'Europe française au XVIII<sup>e</sup> siècle,Beaurepaire,Pierre-Yves,Autrement,Mémoires/Histoire,Histoire,,2007,2012-04-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-mythe-de-l-europe-francaise--9782746709713.htm
9782707158093,9782707195036,Le mythe de la traite des blanches,Chaumont,Jean-Michel,La Découverte,Hors collection Sciences Humaines,Histoire,,2009,2016-12-01,non,E,infos non disponibles,http://www.cairn.info/le-mythe-de-la-traite-des-blanches--9782707158093.htm
9782200277208,9782200289089,Le partage du secret,Darbord, Bernard,Armand Colin,Recherches,Histoire,,2013,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/le-partage-du-secret--9782200277208.htm
9791021005259,9791021007208,Le siècle d'or de l'Espagne,Escamilla,Michèle,Tallandier,Hors collection,Histoire,,2015,2015-11-03,non,F,infos non disponibles,http://www.cairn.info/le-siecle-d-or-de-l-espagne--9791021005259.htm
9782130618904,,Le viol d'Europe,Salais,Robert,P.U.F.,Hors collection,Histoire,,2013,2017-04-05,non,E,infos non disponibles,http://www.cairn.info/le-viol-d-europe--9782130618904.htm
9782130458104,9782130717591,Les Croisades,Grousset,René,P.U.F.,Quadrige,Histoire,,1994,2016-10-03,non,B,infos non disponibles,http://www.cairn.info/Les Croisades--9782130458104.htm
9782262012304,9782262059934,Les Femmes en l'an mille,Verdon,Jean,Éditions Perrin,Hors collection,Histoire,,1999,2016-10-04,non,C,infos non disponibles,http://www.cairn.info/les-femmes-en-l-an-mille--9782262012304.htm
9791021001152,9791021001527,Les Femmes et le sexe dans la Rome antique,Girod,Virginie,Tallandier,Hors collection,Histoire,,2013,2015-12-01,non,E,infos non disponibles,http://www.cairn.info/les-femmes-et-le-sexe-dans-la-rome-antique--9791021001152.htm
9782600008457,,Les Fondements du nationalisme Roumain (1791-1921),Roger,Antoine,Librairie Droz,Travaux de Sciences Sociales,Histoire,,2003,2015-05-13,non,D,infos non disponibles,http://www.cairn.info/les-fondements-du-nationalisme-roumain--9782600008457.htm
9791021004238,9791021004245,Les Furies de Hitler. Comment les femmes allemandes ont participé à la Shoah,Lower,Wendy,Tallandier,Contemporaine,Histoire,,2014,2015-12-01,non,D,infos non disponibles,http://www.cairn.info/les-furies-de-hitler--9791021004238.htm
9782130388234,9782130698869,Les Gitans d'Espagne,Leblon,Bernard,P.U.F.,Les Chemins de l'histoire,Histoire,,1985,2016-08-31,non,C,infos non disponibles,http://www.cairn.info/les-gitans-d-espagne--9782130388234.htm
9782130479932,9782130738060,Les Grecs et la Méditerranée orientale,Baurain,Céline,P.U.F.,Nouvelle Clio,Histoire,,1997,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/les-grecs-et-la-mediterranee-orientale--9782130479932.htm
9782130518112,9782130737476,Les Latins en Orient,Balard,Michel,P.U.F.,Nouvelle Clio,Histoire,,2006,2015-04-22,non,G,infos non disponibles,http://www.cairn.info/les-latins-en-orient-xie-xve-siecle--9782130518112.htm
9782707147028,9782707162694,"Les Lumières, l'esclavage, la colonisation",Benot,Yves,La Découverte,TAP/HIST Contemporaine,Histoire,,2005,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/les-lumieres-l-esclavage-la-colonisation--9782707147028.htm
9782130353447,9782130692782,Les Noblesses européennes de la fin du XVe siècle à la fin du XVIIIe siècle,Labatut,Jean-Pierre,P.U.F.,L'Historien,Histoire,,1978,2016-12-01,non,C,infos non disponibles,http://www.cairn.info/noblesses-europeennes-fin-xve--9782130353447.htm
9782130351696,9782130692898,Les Pays nordiques aux XIXe et XXe siècles,Fol,Jean-Jacques,P.U.F.,Nouvelle Clio,Histoire,,1978,2016-08-31,non,D,infos non disponibles,http://www.cairn.info/les-pays-nordiques-aux-XIXe-et-XXe-siecles--9782130351696.htm
9782200270353,9782200254162,Les Perses vus par les Grecs,Lenfant,Dominique,Armand Colin,U,Histoire,,2011,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/les-perses-vus-par-les-grecs--9782200270353.htm
9782847347692,,Les Russes blancs,Jevakhoff,Alexandre,Tallandier,Texto,Histoire,,2011,2015-12-01,non,E,infos non disponibles,http://www.cairn.info/les-russes-blancs--9782847347692.htm
9782746707368,,"Les Vikings, premiers Européens",Boyer,Régis,Autrement,Mémoires/Histoire,Histoire,,2005,2011-01-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/les-vikings-premiers-europeens--9782746707368.htm
9791021008717,9791021008724,Les années Barroso,Bussière,Éric,Tallandier,Hors collection,Histoire,,2014,2016-02-01,non,D,infos non disponibles,http://www.cairn.info/les-annees-barroso--9791021008717.htm
9782707145451,9782707162526,Les assassins de la mémoire,Vidal-Naquet,Pierre,La Découverte,Poche / Essais,Histoire,,2005,2013-04-02,non,C,infos non disponibles,http://www.cairn.info/les-assassins-de-la-memoire--9782707145451.htm
9782130558330,9782130637936,Les courtisans,Leferme-Falguières,Frédérique,P.U.F.,Partage du savoir,Histoire,,2007,2015-01-01,non,F,infos non disponibles,http://www.cairn.info/les-courtisans-une-societe-de-spectacle--9782130558330.htm
9782262069322,,Les divisions du pape,Le Moal,Frédéric,Éditions Perrin,Hors collection,Histoire,,2016,2017-10-03,non,F,infos non disponibles,http://www.cairn.info/les-divisions-du-pape--9782262069322.htm
9782130478522,9782130636601,"Les empires occidentaux, de Rome à Berlin ",Tulard,Jean,P.U.F.,Histoire générale systèmes politiques,Histoire,,1997,2014-07-01,non,F,infos non disponibles,http://www.cairn.info/empires-occidentaux-de-rome-a-berlin--9782130478522.htm
9782130487647,9782130714293,Les gens de savoir dans l'Europe de la fin du Moyen Âge,Verger,Jacques,P.U.F.,Moyen Age,Histoire,,1998,2016-10-03,non,D,infos non disponibles,http://www.cairn.info/les-gens-de-savoir-dans-l-europe-de-la-fin-du-moye--9782130487647.htm
9791021000605,9791021000797,Les hospitaliers,Demurger,Alain,Tallandier,Hors collection,Histoire,,2013,2016-04-01,non,E,infos non disponibles,http://www.cairn.info/les-hospitaliers--9791021000605.htm
9782746705401,,"Les intellectuels et l'Occupation, 1940-1944",Betz,Albrecht,Autrement,Mémoires/Histoire,Histoire,,2004,2011-01-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/les-intellectuels-et-l-occupation--9782746705401.htm
9782130467151,,Les invasions : les vagues germaniques,Musset,Lucien,P.U.F.,Nouvelle Clio,Histoire,,1994,2016-12-01,non,F,infos non disponibles,http://www.cairn.info/les-invasions-les-vagues-germaniques--9782130467151.htm
9782262043995,,Les secrets de la Belgique,Dayez-Burgeon,Pascal,Éditions Perrin,Synthèses historiques,Histoire,,2013,2017-10-03,non,F,infos non disponibles,http://www.cairn.info/les-secrets-de-la-belgique--9782262043995.htm
9782746708211,,Les silences de Tchernobyl,Ackerman,Galia,Autrement,Frontières,Histoire,,2006,2011-03-17,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/les-silences-de-tchernobyl--9782746708211.htm
9782200265649,9782200242633,Les sociétés en guerre,Bartov,Omer,Armand Colin,U,Histoire,,2003,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/les-societes-en-guerre--9782200265649.htm
9782130621294,,Les universités au Moyen Age,Verger,Jacques,P.U.F.,Quadrige,Histoire,,2013,2017-05-03,non,D,infos non disponibles,http://www.cairn.info/les-universites-au-moyen-age--9782130621294.htm
9782707108401,9782348004971,Lyssenko,Lecourt,Dominique,La Découverte,Théorie,Histoire,,1976,2016-10-03,non,C,infos non disponibles,http://www.cairn.info/lyssenko--9782707108401.htm
9782130517313,9782130638674,L'Angleterre victorienne,Jumeau,Alain,P.U.F.,Perspectives anglo-saxonnes,Histoire,,2001,2014-07-02,non,F,infos non disponibles,http://www.cairn.info/l-angleterre-victorienne--9782130517313.htm
9782708407961,,L'Audience. Rituels et cadres spatiaux dans l'Antiquité et le haut Moyen Âge,Caillet,Jean-Pierre,Éditions Picard,"Textes, images et monuments de l'Antiquité au Haut Moyen Âge",Histoire,,2007,2015-03-12,non,E,infos non disponibles,http://www.cairn.info/l-audience-rituels-et-cadres-spatiaux--9782708407961.htm
9782746706330,,L'Empire khazar,Piatigorsky,Jacques,Autrement,Mémoires/Histoire,Histoire,,2005,2011-01-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/l-empire-khazar--9782746706330.htm
9782130530497,9782130737049,L'Europe au XVIe siècle,Tallon,Alain,P.U.F.,Nouvelle Clio,Histoire,,2010,2015-04-20,non,F,infos non disponibles,http://www.cairn.info/l-europe-au-xvi-e-siecle--9782130530497.htm
9782130576952,9782130641193,L'Europe de 1815 à nos jours,Soutou,Georges-Henri,P.U.F.,Nouvelle Clio,Histoire,,2009,2014-10-15,non,G,infos non disponibles,http://www.cairn.info/l-europe-de-1815-a-nos-jours--9782130576952.htm
9782746713833,,L'Italie des années de plomb,Lazar,Marc,Autrement,Mémoires/Histoire,Histoire,,2010,2011-04-27,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/l-italie-des-annees-de-plomb--9782746713833.htm
9782200269944,9782200242466,L'Italie fasciste,Foro,Philippe,Armand Colin,U,Histoire,,2006,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/l-italie-fasciste--9782200269944.htm
9782912946416,9782356760609,L'Ordre de Malte au XVIII,Blondy,Alain,Éditions Bouchène,Bibliothèque de la Méditerranée,Histoire,,2002,2016-05-10,non,E,infos non disponibles,http://www.cairn.info/l-ordre-de-malte-au-xviii-e-siecle--2912946417.htm
9791021004405,9791021004474,L'agonie d'une monarchie,Bled,Jean-Paul,Tallandier,Hors collection,Histoire,,2014,2016-01-04,non,E,infos non disponibles,http://www.cairn.info/l-agonie-d-une-monarchie--9791021004405.htm
9782200244071,,L'alimentation en Europe à l'époque moderne,Meyzie,Philippe,Armand Colin,U,Histoire,,2010,2016-01-04,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/l-alimentation-en-europe-a-l-epoque-moderne--9782200244071.htm
9782130579816,9782130741008,L'amitié entre princes,Haan,Bertrand,P.U.F.,Le Noeud Gordien,Histoire,,2011,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/l-amite-entre-princes--9782130579816.htm
9782130553656,9782130738961,L'art de la paix en Europe,Bély,Lucien,P.U.F.,Le Noeud Gordien,Histoire,,2007,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/l-art-de-la-paix-en-europe--9782130553656.htm
9782130573579,9782130740261,L'espace public au Moyen Âge,Boucheron,Patrick,P.U.F.,Le Noeud Gordien,Histoire,,2011,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/l-espace-public-au-moyen-age--9782130573579.htm
9782130545613,9782130738558,L'imposture politique au Moyen Âge,Lecuppre,Gilles,P.U.F.,Le Noeud Gordien,Histoire,,2005,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/l-imposture-politique-au-moyen-age--9782130545613.htm
9782130458524,9782130708568,L'invention de l'intellectuel dans l'Europe du XVIII,Masseau,Didier,P.U.F.,Perspectives littéraires,Histoire,,1994,2016-08-31,non,B,infos non disponibles,http://www.cairn.info/l-invention-de-l-intellectuel-dans-l-europe-du-xvi--9782130458524.htm
9782847345735,,L'ivrogne et la marchande de fleurs,Werth,Nicolas,Tallandier,Hors collection,Histoire,,2009,2015-12-01,non,D,infos non disponibles,http://www.cairn.info/l-ivrogne-et-la-marchande-de-fleurs--9782847345735.htm
9791021014268,9791021017788,Mahomet et Charlemagne,Pirenne,Henri,Tallandier,Texto,Histoire,,2015,2016-07-04,non,D,infos non disponibles,http://www.cairn.info/mahomet-et-charlemagne--9791021014268.htm
9782262014957,9782262060084,Malte : la grande défaite de Soliman le Magnifique (1565),Desportes,Catherine,Éditions Perrin,Hors collection,Histoire,,1999,2016-10-04,non,C,infos non disponibles,http://www.cairn.info/malte-la-grande-defaite-de-soliman-le-magnifique--9782262014957.htm
9782130476788,,Mentalités médiévales,Martin,Hervé,P.U.F.,Nouvelle Clio,Histoire,,1998,2016-12-01,non,G,infos non disponibles,http://www.cairn.info/mentalites-medievales--9782130476788.htm
9782130518297,9782130737452,Mentalités médiévales. Tome 2,Martin,Hervé,P.U.F.,Nouvelle Clio,Histoire,,2001,2015-01-01,non,F,infos non disponibles,http://www.cairn.info/mentalites-medievales-tome-2--9782130518297.htm
9782356760289,9782356761040,Meurtre dans la cathédrale,Guiral-Hadziiossif,Jacqueline,Éditions Bouchène,Hors collection,Histoire,,2012,2016-12-01,non,D,infos non disponibles,http://www.cairn.info/meurtre-dans-la-cathedrale--9782356760289.htm
9782010107795,9782014607925,Moscou : troisième Rome,Poliakov,Léon,Hachette Education (ReLIRE),La Force des idées,Histoire,,1989,2016-08-31,non,A,infos non disponibles,http://www.cairn.info/moscou-troisieme-rome--9782010107795.htm
9782200267926,9782200242619,Naissance de l'Italie contemporaine,Pécout,Gilles,Armand Colin,U,Histoire,,2004,2016-02-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/naissance-de-litalie-contemporaine--9782200267926.htm
9782226018656,9782226355577,Naissance des Pays-Bas,Cazaux,Yves,Albin Michel (ReLIRE),Hors collection,Histoire,,1983,2016-10-04,non,B,infos non disponibles,http://www.cairn.info/naissance-des-pays-bas--9782226018656.htm
9782130584056,,Naissance et affirmation de la Réforme,Delumeau,Jean,P.U.F.,Nouvelle Clio,Histoire,,2012,2016-01-04,non,G,infos non disponibles,http://www.cairn.info/naissance-et-affirmation-de-la-reforme--9782130584056.htm
9782130421191,9782130701583,Nous partons pour la Sicile,Lévêque,Pierre,P.U.F.,Nous partons pour,Histoire,,1989,2016-10-04,non,D,infos non disponibles,http://www.cairn.info/nous-partons-pour-la-sicile--9782130421191.htm
9782130619284,,Nouvelle histoire des colonisations européennes (XIX,Lorin,Amaury,P.U.F.,Le Noeud Gordien,Histoire,,2013,2017-04-05,non,E,infos non disponibles,http://www.cairn.info/nouvelle-histoire-des-colonisations-europeennes--9782130619284.htm
9782234018624,9782234102897,Nuremberg,Casamayor,,Stock (ReLIRE),Documents,Histoire,,1985,2016-10-04,non,B,infos non disponibles,http://www.cairn.info/nuremberg--9782234018624.htm
9782708408067,,"Objets sacrés, objets magiques de l'Antiquité au Moyen Age",Delattre,Charles,Éditions Picard,"Textes, images et monuments de l'Antiquité au Haut Moyen Âge",Histoire,,2007,2015-03-12,non,E,infos non disponibles,http://www.cairn.info/objets-sacres-objets-magiques-de-l-antiquite-au-mo--9782708408067.htm
9782707156198,9782707181565,"Obéir, désobéir",Loez,André,La Découverte,Recherches,Histoire,,2008,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/obeir-et-desobeir--9782707156198.htm
9782746709300,,Occupation et répression militaire allemandes,Eismann,Gaël,Autrement,Mémoires/Histoire,Histoire,,2007,2011-03-30,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/occupation-et-repression-militaire-allemandes--9782746709300.htm
9782259011662,9782259237819,Opération Walkyrie,Galante,Pierre,Plon (ReLIRE),Le poids des mots,Histoire,,1984,2016-10-04,non,C,infos non disponibles,http://www.cairn.info/operation-walkyrie--9782259011662.htm
9782130497448,9782130725169,Parlementarisme des origines,Baranger,Denis,P.U.F.,Léviathan,Histoire,,1999,2016-10-03,non,E,infos non disponibles,http://www.cairn.info/parlementarisme-des-origines--9782130497448.htm
9782200274375,9782200291945,Patronage et corruption politiques dans l'Europe contemporaine,Monier,Frédéric,Armand Colin,Recherches,Histoire,,2014,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/patronage-et-corruption-politiques-dans-l-europe--9782200274375.htm
9782130435686,9782130716891,"Pauvreté, charité et morale à Londres au XIX",Barret-Ducrocq,Françoise,P.U.F.,Recherches politiques,Histoire,,1991,2016-08-31,non,C,infos non disponibles,http://www.cairn.info/pauvrete-charite-et-morale-a-londres--9782130435686.htm
9782130384458,9782130715788,Paysans d'Occident (XIe-XIVe siècle),Fossier,Robert,P.U.F.,L'Historien,Histoire,,1984,2016-08-31,non,C,infos non disponibles,http://www.cairn.info/paysans-d-occident-xie-xive siecle--9782130384458.htm
9782130576624,9782130641186,Pour en finir avec la Croisade,Poumarède,Géraud,P.U.F.,Quadrige,Histoire,,2009,2014-11-03,non,F,infos non disponibles,http://www.cairn.info/pour-en-finir-avec-la-croisade--9782130576624.htm
9782200272135,9782200288860,Pouvoir et religion en Europe,Suire,Éric,Armand Colin,U,Histoire,,2013,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/pouvoir-et-religion-en-europe--9782200272135.htm
9782225843198,9782402342063,"Pouvoir, classes et nation en Grande-Bretagne au XIXe siècle",Bonifas,Gilbert,Elsevier Masson (ReLIRE),Langue et civilisation anglo-américaines,Histoire,,1993,2017-01-01,non,B,infos non disponibles,http://www.cairn.info/pouvoir-classes-et-nation-en-grande-bretagne--9782225843198.htm
9782724610147,9782724686838,Regard sur le siècle,,,Presses de Sciences Po,La Bibliothèque du citoyen,Histoire,,2007,2012-04-01,non,E,infos non disponibles,http://www.cairn.info/regard-sur-le-siecle--9782724610147.htm
9782262043575,,Regards sur la démocratie athénienne,Mossé,Claude,Éditions Perrin,Synthèses historiques,Histoire,,2013,2017-10-03,non,E,infos non disponibles,http://www.cairn.info/regards-sur-la-democratie-athenienne--9782262043575.htm
9782708409088,,Religieux et religieuses en Empire,Parisse,Michel,Éditions Picard,Les médiévistes français,Histoire,,2011,2015-03-12,non,E,infos non disponibles,http://www.cairn.info/religieux-et-religieuses-en-empire--9782708409088.htm
9782841743837,9782841748235,Repenser l'ordre européen (1795-1802),Belissa,Marc,Éditions Kimé,Le sens de l'histoire,Histoire,,2006,2016-08-30,non,E,infos non disponibles,http://www.cairn.info/Repenser-l-ordre-europeen--9782841743837.htm
9782130487111,9782130737971,Rome et l'intégration de l'Empire - Tome 2,Lepelley,Claude,P.U.F.,Nouvelle Clio,Histoire,,1998,2015-09-17,non,G,infos non disponibles,http://www.cairn.info/rome-et-l-integration-de-l-empire-tome-2--9782130487111.htm
9782200249526,9782200283322,Rome et le monde provincial,Flamerie de Lachapelle,Guillaume,Armand Colin,U,Histoire,,2012,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/rome-et-le-monde-provincial--9782200249526.htm
9782200263843,9782200243562,Rome. Paysage urbain et idéologie,de Chaisemartin,Nathalie,Armand Colin,U,Histoire,,2003,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/rome-paysage-urbain-et-ideologie--9782200263843.htm
9782200249212,9782200281571,Royauté et idéologie au Moyen Âge,Sassier,Yves,Armand Colin,U,Histoire,,2012,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/royaute-et-ideologie-au-moyen-age--9782200249212.htm
9782200265205,9782200242428,Sparte,Ruzé,Françoise,Armand Colin,U,Histoire,,2007,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/sparte--9782200265205.htm
9782746709188,,Spoliations et restitutions des biens juifs en Europe,Goschler,Constantin,Autrement,Mémoires/Histoire,Histoire,,2007,2011-04-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/spoliations-et-restitutions-des-biens-juifs-en-eur--9782746709188.htm
9782200277338,9782200283551,"Sport, corps et sociétés de masse",Bensoussan,Georges,Armand Colin,Recherches,Histoire,,2012,2016-03-09,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/sport-corps-et-societes-de-masse--9782200277338.htm
9782130511656,,"Staline, Israël et les Juifs ",Rucker,Laurent,P.U.F.,Hors collection,Histoire,,2001,2016-01-04,non,F,infos non disponibles,http://www.cairn.info/staline-israel-et-les-juifs--9782130511656.htm
9782847349726,9791021000100,Tannenberg,Gouguenheim,Sylvain,Tallandier,L'Histoire en batailles,Histoire,,2012,2015-12-01,non,D,infos non disponibles,http://www.cairn.info/tannenberg--9782847349726.htm
9782707114303,9782348010439,Tendre exil,Vernier,Claude,La Découverte,Actes et mémoires du peuple,Histoire,,1983,2016-03-15,non,C,infos non disponibles,http://www.cairn.info/tendre-exil--9782707114303.htm
9782213016047,9782213694283,Terrorisme et démocratie,Furet,François,Fayard (ReLIRE),Fondation Saint-Simon,Histoire,,1985,2016-03-15,non,B,infos non disponibles,http://www.cairn.info/terrorisme-et-democratie--9782213016047.htm
9782746706477,,Triangles rouges à Auschwitz,Cardon-Hamet,Claudine,Autrement,Mémoires/Histoire,Histoire,,2005,2012-04-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/triangles-rouges-a-auschwitz--9782746706477.htm
9782259022033,9782259234870,Un certain 18 juin,Schumann,Maurice,Plon (ReLIRE),Histoire contemporaine,Histoire,,1989,2016-10-04,non,C,infos non disponibles,http://www.cairn.info/un-certain-dix-huit-juin--9782259022033.htm
9782130551041,9782130738848,"Une histoire du patrimoine en Occident, XVIII",Poulot,Dominique,P.U.F.,Le Noeud Gordien,Histoire,,2006,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/une-histoire-du-patrimoine-en-occident-xviiie-xxie--9782130551041.htm
9782707143655,9782707164087,Une éducation grecque,Lalanne,Sophie,La Découverte,TAP / Histoire classique,Histoire,,2006,2012-04-01,non,D,infos non disponibles,http://www.cairn.info/une-education-grecque--2707143650.htm
9782708407169,,Villes d'Allemagne au Moyen Age,Monnet,Pierre,Éditions Picard,Les médiévistes français,Histoire,,2004,2015-03-12,non,E,infos non disponibles,http://www.cairn.info/villes-d-allemagne-au-moyen-age--9782708407169.htm
9782200275921,9782200281816,Villes et culture sous l'Occupation,Taliano-des Garets,Françoise,Armand Colin,Recherches,Histoire,,2012,2016-02-01,non,bouquet uniquement,infos non disponibles,http://www.cairn.info/villes-et-culture-sous-l-occupation--9782200275921.htm
9782707132017,9782707170194,"Vilna, Wilno, Vilnius",Minczeles,Henri,La Découverte,TAP / série histoire contemporaine,Histoire,,2000,2012-04-01,non,D,infos non disponibles,http://www.cairn.info/vilna-wilno-vilnius--9782707132017.htm
9782708407398,,Violence et ordre public au Moyen Âge,Gauvard,Claude,Éditions Picard,Les médiévistes français,Histoire,,2005,2015-03-12,non,E,infos non disponibles,http://www.cairn.info/violence-et-ordre-public-au-moyen-age--9782708407398.htm
9782130573630,9782130740285,Violences souveraines au Moyen Âge,Foronda,François,P.U.F.,Le Noeud Gordien,Histoire,,2010,2015-04-20,non,F,infos non disponibles,http://www.cairn.info/violences-souveraines-au-moyen-age--9782130573630.htm
9782130539704,9782130737445,Vol et brigandage au Moyen Âge,Toureille,Valérie,P.U.F.,Le Noeud Gordien,Histoire,,2006,2015-09-17,non,F,infos non disponibles,http://www.cairn.info/vol-et-brigandage-au-moyen-age--9782130539704.htm
9782707142115,9782707155597,Vrai et faux dans la Grande Guerre,Prochasson,Christophe,La Découverte,Espace de l'histoire,Histoire,,2004,2010-04-01,non,D,infos non disponibles,http://www.cairn.info/vrai-et-faux-dans-la-grande-guerre--9782707142115.htm
9782130468745,9782130639404,XIV,Favier,Jean,P.U.F.,Peuples et civilisations,Histoire,,1996,2014-07-01,non,F,infos non disponibles,http://www.cairn.info/xive-et-xve-siecles-crises-et-geneses--9782130468745.htm
9782707144010,9782707181251,Zoos humains ,Bancel,Nicolas,La Découverte,Poche/Sciences humaines et sociales,Histoire,,2004,2010-04-01,non,C,infos non disponibles,http://www.cairn.info/zoos-humains--9782707144010.htm
9782707169976,9782707170880,Zoos humains et exhibitions coloniales,Blanchard,Pascal,La Découverte,Poche/Sciences humaines et sociales,Histoire,,2011,2013-04-02,non,D,infos non disponibles,http://www.cairn.info/zoos-humains-et-exhibitions-coloniales--9782707169976.htm
